entidad,n_entidad,nivel,insc_t,hom_t,muj_t,egre_hom,egre_muj,egre_tot,docente_h,docente_m,tot_doc,porc_aban_hom,porc_aban_muj,porc_aban_tot,porc_doc_hom,porc_doc_muj,porc_ins_hom,porc_insc_muj
15,méxico,secundaria,5145851,2583611,2562240,826098,840636,1666734,82676,138088,220764,0.680254496516697,0.6719136380666917,0.6761013873118362,0.3744994654925622,0.6255005345074378,0.5020765272838253,0.49792347271617465
16,michoacán de ocampo,inicial,72628,37019,35609,0,0,0,598,3533,4131,1.0,1.0,1.0,0.1447591382231905,0.8552408617768095,0.5097070000550752,0.4902929999449248
16,michoacán de ocampo,media superior,1005010,463391,541619,119385,149115,268500,46865,39729,86594,0.7423665975385798,0.7246865416464341,0.7328384792191123,0.5412037785527866,0.45879622144721344,0.4610809842688132,0.5389190157311867
16,michoacán de ocampo,preescolar,1112131,558627,553504,0,0,0,3431,56309,59740,1.0,1.0,1.0,0.0574322062269836,0.9425677937730164,0.5023032358598043,0.4976967641401957
16,michoacán de ocampo,primaria,3217652,1631312,1586340,0,0,0,61845,92253,154098,1.0,1.0,1.0,0.40133551376396837,0.5986644862360316,0.5069883256486407,0.49301167435135934
16,michoacán de ocampo,secundaria,1356122,669651,686471,184845,203116,387961,30881,31115,61996,0.7239681565472165,0.7041156873342064,0.71391880671503,0.4981127814697722,0.5018872185302278,0.4937984930559345,0.5062015069440655
17,morelos,inicial,23701,12156,11545,0,0,0,5,1646,1651,1.0,1.0,1.0,0.0030284675953967293,0.9969715324046032,0.512889751487279,0.487110248512721
17,morelos,media superior,483741,231418,252323,59798,71774,131572,20741,22834,43575,0.7416017768712893,0.7155471360121748,0.7280114772161136,0.4759839357429719,0.5240160642570281,0.4783923628553296,0.5216076371446704
17,morelos,preescolar,350650,176695,173955,0,0,0,307,15395,15702,1.0,1.0,1.0,0.019551649471404916,0.9804483505285951,0.5039070298017967,0.4960929701982033
17,morelos,primaria,1173302,596243,577059,0,0,0,9315,39112,48427,1.0,1.0,1.0,0.1923513742333822,0.8076486257666178,0.5081752183154891,0.4918247816845109
17,morelos,secundaria,569242,285092,284150,88103,90824,178927,10123,17272,27395,0.6909664248733742,0.6803660038711947,0.6856749853313705,0.3695199853987954,0.6304800146012046,0.5008274161077363,0.49917258389226377
18,nayarit,inicial,16400,8366,8034,0,0,0,2,530,532,1.0,1.0,1.0,0.0037593984962406013,0.9962406015037594,0.5101219512195122,0.4898780487804878
18,nayarit,media superior,322183,152883,169300,43274,51289,94563,15765,13756,29521,0.7169469463576722,0.6970525694034259,0.7064928937901751,0.5340266251143254,0.4659733748856746,0.4745222435696483,0.5254777564303517
18,nayarit,preescolar,266451,135170,131281,0,0,0,349,11351,11700,1.0,1.0,1.0,0.02982905982905983,0.9701709401709402,0.5072977770772112,0.4927022229227888
18,nayarit,primaria,807349,411737,395612,0,0,0,9814,22174,31988,1.0,1.0,1.0,0.30680255095660874,0.6931974490433913,0.5099863875473928,0.4900136124526072
18,nayarit,secundaria,383094,193022,190072,57620,58856,116476,8963,12388,21351,0.701484804840899,0.6903489204091081,0.6959597383409816,0.41979298393517867,0.5802070160648213,0.503850229969668,0.496149770030332
19,nuevo león,inicial,58544,30479,28065,0,0,0,1,1591,1592,1.0,1.0,1.0,0.000628140703517588,0.9993718592964824,0.5206169718502323,0.4793830281497677
19,nuevo león,media superior,1409287,705105,704182,195910,210200,406110,41646,46441,88087,0.7221548563689095,0.7014976241937454,0.7118330049166706,0.4727825899394916,0.5272174100605084,0.5003274705578069,0.4996725294421931
19,nuevo león,preescolar,1164141,589679,574462,0,0,0,562,54949,55511,1.0,1.0,1.0,0.010124119543874188,0.9898758804561258,0.5065357203294103,0.49346427967058976
19,nuevo león,primaria,3488396,1777045,1711351,0,0,0,31907,99636,131543,1.0,1.0,1.0,0.24255946724645172,0.7574405327535483,0.5094160754684961,0.4905839245315039
19,nuevo león,secundaria,1665313,842417,822896,258636,257889,516525,35743,49123,84866,0.6929834037062406,0.6866080282320002,0.6898330824295493,0.4211698442250135,0.5788301557749864,0.5058610603532189,0.49413893964678113
20,oaxaca,inicial,47973,24087,23886,0,0,0,130,2282,2412,1.0,1.0,1.0,0.0538971807628524,0.9461028192371476,0.5020949283972235,0.4979050716027766
20,oaxaca,media superior,899337,431870,467467,111518,129797,241315,36709,30578,67287,0.7417787760205617,0.7223397587423284,0.7316745558116702,0.5455585774369491,0.4544414225630508,0.4802093097470692,0.5197906902529308
20,oaxaca,preescolar,970882,482334,488548,0,0,0,3886,44183,48069,1.0,1.0,1.0,0.08084212278183445,0.9191578772181656,0.49679981707354753,0.5032001829264524
20,oaxaca,primaria,2782011,1397258,1384753,0,0,0,30819,118574,149393,1.0,1.0,1.0,0.20629480631622632,0.7937051936837737,0.5022474749380933,0.49775252506190665
20,oaxaca,secundaria,1290358,646428,643930,193657,201782,395439,27526,34701,62227,0.7004198456750017,0.6866398521578432,0.6935431872395103,0.44234817683642147,0.5576518231635785,0.5009679484298156,0.4990320515701844
21,puebla,inicial,31559,16196,15363,0,0,0,3,1734,1737,1.0,1.0,1.0,0.0017271157167530224,0.998272884283247,0.5131975030894516,0.4868024969105485
21,puebla,media superior,1765466,842468,922998,245516,284217,529733,47826,55793,103619,0.7085752811976241,0.6920719221493438,0.6999472094053355,0.4615562782887308,0.5384437217112692,0.4771929904059325,0.5228070095940676
21,puebla,preescolar,1593388,800885,792503,0,0,0,1176,61114,62290,1.0,1.0,1.0,0.018879434901268262,0.9811205650987317,0.5026302444853357,0.49736975551466434
21,puebla,primaria,4524053,2291318,2232735,0,0,0,38145,124077,162222,1.0,1.0,1.0,0.23514073306949734,0.7648592669305027,0.5064746146873169,0.49352538531268314
21,puebla,secundaria,2065187,1031372,1033815,320618,331562,652180,30924,54465,85389,0.6891344733035218,0.6792830438714856,0.6842029317441956,0.36215437585637494,0.6378456241436251,0.49940852813812986,0.5005914718618701
22,querétaro,inicial,29979,15270,14709,0,0,0,4,1219,1223,1.0,1.0,1.0,0.003270645952575634,0.9967293540474244,0.5093565495847093,0.4906434504152907
22,querétaro,media superior,552024,259289,292735,63406,81175,144581,19525,21812,41337,0.7554620519960353,0.7227014193724699,0.7380892859730737,0.4723371313835063,0.5276628686164937,0.4697060272741765,0.5302939727258236
22,querétaro,preescolar,485725,245079,240646,0,0,0,462,21922,22384,1.0,1.0,1.0,0.0206397426733381,0.9793602573266619,0.5045632816923156,0.4954367183076844
22,querétaro,primaria,1527915,776345,751570,0,0,0,9941,41879,51820,1.0,1.0,1.0,0.19183712852180626,0.8081628714781938,0.5081074536214384,0.4918925463785616
22,querétaro,secundaria,730412,364659,365753,105686,113034,218720,9340,16269,25609,0.7101785503717171,0.6909553715212179,0.7005525648538085,0.36471552969659105,0.635284470303409,0.4992511075940702,0.5007488924059298
23,quintana roo,inicial,18321,9471,8850,0,0,0,41,690,731,1.0,1.0,1.0,0.0560875512995896,0.9439124487004104,0.5169477648599967,0.4830522351400033
23,quintana roo,media superior,431161,212456,218705,56782,62810,119592,19556,17851,37407,0.7327352487103211,0.7128094922384034,0.722627974237002,0.5227898521667068,0.47721014783329324,0.49275328705518356,0.5072467129448165
23,quintana roo,preescolar,321171,161989,159182,0,0,0,591,14258,14849,1.0,1.0,1.0,0.03980065997710284,0.9601993400228972,0.5043699462280218,0.49563005377197816
23,quintana roo,primaria,1151832,585514,566318,0,0,0,14849,25595,40444,1.0,1.0,1.0,0.3671496390070221,0.632850360992978,0.508332812424034,0.49166718757596595
23,quintana roo,secundaria,547663,277231,270432,80655,81654,162309,11976,13868,25844,0.7090693320732531,0.698060880369187,0.703633438811824,0.46339575917040704,0.5366042408295929,0.5062072844066515,0.4937927155933485
